,,,A&E attendances,,,,"A&E attendances less than 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances greater than 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,,
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,13754,2170,0,15924,9207,2104,0,11311,4547,66,0,4613,0.7103114795277569,0.6694052639232223,0.9695852534562212,-,4518,14,0,4532,1420,5952,1029,112,August-2023
NLW,NHS England South West ,Bristol Community Health,0,0,4572,4572,0,0,4567,4567,0,0,5,5,0.9989063867016623,-,-,0.9989063867016623,0,0,0,0,0,0,0,0,December-2018
RVJ,NHS England South West ,North Bristol NHS Trust,7706,0,0,7706,6540,0,0,6540,1166,0,0,1166,0.8486893329872827,0.8486893329872827,-,-,3251,0,0,3251,1630,4881,173,0,December-2018
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,10065,1805,0,11870,8105,1753,0,9858,1960,52,0,2012,0.830497051390059,0.8052657724788872,0.971191135734072,-,3367,9,0,3376,884,4260,347,0,December-2018
NLW,NHS England South West ,Bristol Community Health,0,0,4779,4779,0,0,4758,4758,0,0,21,21,0.9956057752667922,-,-,0.9956057752667922,0,0,0,0,0,0,0,0,December-2019
RVJ,NHS England South West ,North Bristol NHS Trust,8286,0,0,8286,6185,0,0,6185,2101,0,0,2101,0.7464397779386918,0.7464397779386918,-,-,3347,0,0,3347,1746,5093,992,2,December-2019
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,10923,1935,0,12858,7880,1907,0,9787,3043,28,0,3071,0.7611603670866387,0.7214135310812048,0.9855297157622739,-,3624,11,0,3635,789,4424,901,8,December-2019
RVJ,NHS England South West ,North Bristol NHS Trust,6632,0,0,6632,4855,0,0,4855,1777,0,0,1777,0.7320566948130277,0.7320566948130277,-,-,2984,0,0,2984,1550,4534,736,52,December-2020
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,10356,1568,0,11924,7315,1550,0,8865,3041,18,0,3059,0.7434585709493459,0.7063538045577443,0.9885204081632653,-,3533,9,0,3542,773,4315,1351,247,December-2020
RVJ,NHS England South West ,North Bristol NHS Trust,7574,0,0,7574,4681,0,0,4681,2893,0,0,2893,0.6180353842091365,0.6180353842091365,-,-,3100,0,0,3100,1674,4774,882,20,December-2021
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,12882,1696,0,14578,7621,1663,0,9284,5261,33,0,5294,0.6368500480175607,0.5916006831237386,0.9805424528301887,-,3725,8,0,3733,630,4363,1869,676,December-2021
RVJ,NHS England South West ,North Bristol NHS Trust,7869,0,0,7869,4376,0,0,4376,3493,0,0,3493,0.5561062396746728,0.5561062396746728,-,-,2080,0,0,2080,1894,3974,1247,786,December-2022
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,14899,1763,0,16662,7197,1703,0,8900,7702,60,0,7762,0.5341495618773257,0.48305255386267537,0.9659671015314805,-,4111,9,0,4120,1147,5267,2197,1217,December-2022
RVJ,NHS England South West ,North Bristol NHS Trust,8651,0,0,8651,5811,0,0,5811,2840,0,0,2840,0.6717142526875506,0.6717142526875506,-,-,2704,0,0,2704,1944,4648,938,269,December-2023
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,14562,1955,0,16517,8457,1876,0,10333,6105,79,0,6184,0.6255978688623842,0.580758137618459,0.9595907928388747,-,5083,7,0,5090,1556,6646,1585,376,December-2023
NLW,NHS England South West ,Bristol Community Health,0,0,4511,4511,0,0,4510,4510,0,0,1,1,0.9997783196630459,-,-,0.9997783196630459,0,0,0,0,0,0,0,0,February-2019
RVJ,NHS England South West ,North Bristol NHS Trust,7195,0,0,7195,5070,0,0,5070,2125,0,0,2125,0.7046560111188325,0.7046560111188325,-,-,2851,0,0,2851,1649,4500,603,21,February-2019
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,9313,1923,0,11236,7222,1885,0,9107,2091,38,0,2129,0.8105197579209683,0.7754751422742403,0.9802392095683827,-,3035,16,0,3051,760,3811,399,0,February-2019
NLW,NHS England South West ,Bristol Community Health,0,0,4459,4459,0,0,4434,4434,0,0,25,25,0.9943933617403005,-,-,0.9943933617403005,0,0,0,0,0,0,0,0,February-2020
RVJ,NHS England South West ,North Bristol NHS Trust,7848,0,0,7848,5684,0,0,5684,2164,0,0,2164,0.7242609582059123,0.7242609582059123,-,-,3122,0,0,3122,1650,4772,848,48,February-2020
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,9798,2057,0,11855,7272,2020,0,9292,2526,37,0,2563,0.7838043019822859,0.7421922841396204,0.9820126397666504,-,3148,13,0,3161,922,4083,662,1,February-2020
RVJ,NHS England South West ,North Bristol NHS Trust,5676,0,0,5676,4162,0,0,4162,1514,0,0,1514,0.733262861169838,0.733262861169838,-,-,2722,0,0,2722,1430,4152,561,7,February-2021
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,9249,1454,0,10703,6413,1427,0,7840,2836,27,0,2863,0.7325049051667757,0.6933722564601579,0.9814305364511692,-,3263,5,0,3268,580,3848,1277,195,February-2021
RVJ,NHS England South West ,North Bristol NHS Trust,7334,0,0,7334,3779,0,0,3779,3555,0,0,3555,0.5152713389691846,0.5152713389691846,-,-,2475,0,0,2475,1625,4100,939,367,February-2022
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,12281,1809,0,14090,7401,1733,0,9134,4880,76,0,4956,0.6482611781405252,0.6026382216431887,0.9579878385848535,-,3416,9,0,3425,1486,4911,1640,844,February-2022
RVJ,NHS England South West ,North Bristol NHS Trust,7272,0,0,7272,5795,0,0,5795,1477,0,0,1477,0.7968921892189219,0.7968921892189219,-,-,2902,0,0,2902,1679,4581,453,9,February-2023
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,12729,2102,0,14831,7131,2049,0,9180,5598,53,0,5651,0.6189737711550132,0.5602168277162385,0.9747859181731684,-,4188,11,0,4199,1106,5305,1723,427,February-2023
NLW,NHS England South West ,Bristol Community Health,0,0,4665,4665,0,0,4663,4663,0,0,2,2,0.9995712754555198,-,-,0.9995712754555198,0,0,0,0,0,0,0,0,January-2019
RVJ,NHS England South West ,North Bristol NHS Trust,8007,0,0,8007,6237,0,0,6237,1770,0,0,1770,0.7789434245035594,0.7789434245035594,-,-,3409,0,0,3409,1854,5263,568,0,January-2019
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,10099,1997,0,12096,8270,1951,0,10221,1829,46,0,1875,0.8449900793650794,0.8188929596989801,0.9769654481722584,-,3419,9,0,3428,927,4355,489,0,January-2019
NLW,NHS England South West ,Bristol Community Health,0,0,4625,4625,0,0,4598,4598,0,0,27,27,0.9941621621621621,-,-,0.9941621621621621,0,0,0,0,0,0,0,0,January-2020
RVJ,NHS England South West ,North Bristol NHS Trust,8356,0,0,8356,6545,0,0,6545,1811,0,0,1811,0.7832695069411202,0.7832695069411202,-,-,3387,0,0,3387,1928,5315,745,38,January-2020
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,10044,2163,0,12207,7885,2099,0,9984,2159,64,0,2223,0.8178913738019169,0.7850457984866587,0.9704114655570967,-,3380,10,0,3390,962,4352,608,11,January-2020
RVJ,NHS England South West ,North Bristol NHS Trust,6125,0,0,6125,4196,0,0,4196,1929,0,0,1929,0.6850612244897959,0.6850612244897959,-,-,3008,0,0,3008,1399,4407,894,206,January-2021
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,9272,1361,0,10633,6067,1346,0,7413,3205,15,0,3220,0.6971691902567478,0.6543356341673857,0.9889786921381337,-,3215,3,0,3218,693,3911,1566,468,January-2021
RVJ,NHS England South West ,North Bristol NHS Trust,7633,0,0,7633,4639,0,0,4639,2994,0,0,2994,0.6077557971963842,0.6077557971963842,-,-,2954,0,0,2954,1693,4647,994,295,January-2022
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,12505,1812,0,14317,7681,1769,0,9450,4824,43,0,4867,0.6600544806872948,0.614234306277489,0.9762693156732892,-,3662,7,0,3669,604,4273,1750,776,January-2022
RVJ,NHS England South West ,North Bristol NHS Trust,7342,0,0,7342,5282,0,0,5282,2060,0,0,2060,0.7194225006810133,0.7194225006810133,-,-,2917,0,0,2917,1808,4725,866,312,January-2023
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,12700,2026,0,14726,7369,1974,0,9343,5331,52,0,5383,0.6344560641043053,0.5802362204724409,0.9743336623889437,-,4477,15,0,4492,1247,5739,2061,1006,January-2023
RVJ,NHS England South West ,North Bristol NHS Trust,9029,0,0,9029,5715,0,0,5715,3314,0,0,3314,0.6329604607376232,0.6329604607376232,-,-,2910,0,0,2910,2034,4944,1156,318,January-2024
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,15559,2243,0,17802,9343,2166,0,11509,6216,77,0,6293,0.6465003932142456,0.6004884632688476,0.9656709763709318,-,5454,7,0,5461,1694,7155,1635,327,January-2024
NLW,NHS England South West ,Bristol Community Health,0,0,5123,5123,0,0,5104,5104,0,0,19,19,0.9962912356041382,-,-,0.9962912356041382,0,0,0,0,0,0,0,0,July-2018
RVJ,NHS England South West ,North Bristol NHS Trust,8086,0,0,8086,6105,0,0,6105,1981,0,0,1981,0.7550086569379174,0.7550086569379174,-,-,2993,0,0,2993,1710,4703,170,0,July-2018
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,9895,1968,0,11863,8815,1893,0,10708,1080,75,0,1155,0.9026384557026047,0.8908539666498232,0.961890243902439,-,2910,9,0,2919,973,3892,179,0,July-2018
NLW,NHS England South West ,Bristol Community Health,0,0,5226,5226,0,0,5216,5216,0,0,10,10,0.9980864906238041,-,-,0.9980864906238041,0,0,0,0,0,0,0,0,July-2019
RVJ,NHS England South West ,North Bristol NHS Trust,8688,0,0,8688,6298,0,0,6298,2390,0,0,2390,0.7249079189686924,0.7249079189686924,-,-,3238,0,0,3238,1876,5114,426,0,July-2019
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,9984,2172,0,12156,7819,2132,0,9951,2165,40,0,2205,0.8186080947680158,0.7831530448717948,0.9815837937384899,-,3215,13,0,3228,850,4078,371,0,July-2019
RVJ,NHS England South West ,North Bristol NHS Trust,7422,0,0,7422,6937,0,0,6937,485,0,0,485,0.9346537321476691,0.9346537321476691,-,-,3219,0,0,3219,1500,4719,46,0,July-2020
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,11248,1721,0,12969,9192,1708,0,10900,2056,13,0,2069,0.8404657259619092,0.8172119487908962,0.9924462521789658,-,3777,4,0,3781,819,4600,524,58,July-2020
RVJ,NHS England South West ,North Bristol NHS Trust,8561,0,0,8561,4654,0,0,4654,3907,0,0,3907,0.5436280808316786,0.5436280808316786,-,-,2994,0,0,2994,1577,4571,880,97,July-2021
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,14926,1834,0,16760,9426,1798,0,11224,5500,36,0,5536,0.669689737470167,0.6315154763499933,0.9803707742639041,-,3952,11,0,3963,660,4623,1588,255,July-2021
RVJ,NHS England South West ,North Bristol NHS Trust,8343,0,0,8343,4254,0,0,4254,4089,0,0,4089,0.509888529306005,0.509888529306005,-,-,3056,0,0,3056,1348,4404,935,304,July-2022
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,14707,2044,0,16751,8192,1883,0,10075,6515,161,0,6676,0.6014566294549579,0.5570136669613109,0.9212328767123288,-,3864,5,0,3869,842,4711,1977,878,July-2022
RVJ,NHS England South West ,North Bristol NHS Trust,8912,0,0,8912,6371,0,0,6371,2541,0,0,2541,0.71487881508079,0.71487881508079,-,-,2964,0,0,2964,1764,4728,547,12,July-2023
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,13943,2232,0,16175,10072,2115,0,12187,3871,117,0,3988,0.7534466769706337,0.7223696478519688,0.9475806451612904,-,4594,10,0,4604,1328,5932,606,34,July-2023
NLW,NHS England South West ,Bristol Community Health,0,0,4988,4988,0,0,4986,4986,0,0,2,2,0.9995990376904571,-,-,0.9995990376904571,0,0,0,0,0,0,0,0,June-2018
RVJ,NHS England South West ,North Bristol NHS Trust,7747,0,0,7747,6759,0,0,6759,988,0,0,988,0.8724667613269652,0.8724667613269652,-,-,2513,0,0,2513,1675,4188,91,0,June-2018
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,9385,1921,0,11306,8621,1876,0,10497,764,45,0,809,0.9284450734123474,0.9185935002663825,0.9765747006767309,-,2818,7,0,2825,886,3711,94,0,June-2018
NLW,NHS England South West ,Bristol Community Health,0,0,4812,4812,0,0,4812,4812,0,0,0,0,1,-,-,1,0,0,0,0,0,0,0,0,June-2019
RVJ,NHS England South West ,North Bristol NHS Trust,8041,0,0,8041,5832,0,0,5832,2209,0,0,2209,0.7252829250093272,0.7252829250093272,-,-,3110,0,0,3110,1728,4838,418,1,June-2019
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,9545,2080,0,11625,7443,2029,0,9472,2102,51,0,2153,0.8147956989247311,0.7797799895233106,0.9754807692307692,-,3102,17,0,3119,865,3984,424,0,June-2019
RVJ,NHS England South West ,North Bristol NHS Trust,6725,0,0,6725,6380,0,0,6380,345,0,0,345,0.9486988847583643,0.9486988847583643,-,-,3077,0,0,3077,1455,4532,41,0,June-2020
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,8603,1489,0,10092,7344,1467,0,8811,1259,22,0,1281,0.8730677764565993,0.8536557014994769,0.9852249832102082,-,3189,12,0,3201,818,4019,218,7,June-2020
RVJ,NHS England South West ,North Bristol NHS Trust,8728,0,0,8728,5619,0,0,5619,3109,0,0,3109,0.6437901008249313,0.6437901008249313,-,-,3106,0,0,3106,1651,4757,520,4,June-2021
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,15012,1859,0,16871,10009,1816,0,11825,5003,43,0,5046,0.7009068816312015,0.6667332800426325,0.9768692845615923,-,3934,5,0,3939,645,4584,1408,146,June-2021
RVJ,NHS England South West ,North Bristol NHS Trust,8319,0,0,8319,4935,0,0,4935,3384,0,0,3384,0.5932203389830508,0.5932203389830508,-,-,2766,0,0,2766,1615,4381,963,297,June-2022
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,14444,2084,0,16528,8413,2007,0,10420,6031,77,0,6108,0.6304453049370765,0.5824563832733315,0.9630518234165067,-,3658,9,0,3667,858,4525,1693,576,June-2022
RVJ,NHS England South West ,North Bristol NHS Trust,8821,0,0,8821,6629,0,0,6629,2192,0,0,2192,0.7515020972678834,0.7515020972678834,-,-,3065,0,0,3065,1921,4986,560,10,June-2023
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,14528,2314,0,16842,9920,2218,0,12138,4608,96,0,4704,0.7206982543640897,0.6828193832599119,0.958513396715644,-,4427,14,0,4441,1337,5778,1147,214,June-2023
NLW,NHS England South West ,Bristol Community Health,0,0,5178,5178,0,0,5174,5174,0,0,4,4,0.9992275009656237,-,-,0.9992275009656237,0,0,0,0,0,0,0,0,March-2019
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,10482,2079,0,12561,8203,2079,0,10282,2279,0,0,2279,0.8185654008438819,0.7825796603701584,1,-,3389,10,0,3399,815,4214,324,0,March-2019
RVJ,NHS England South West ,North Bristol NHS Trust,8224,0,0,8224,6094,0,0,6094,2130,0,0,2130,0.7410019455252919,0.7410019455252919,-,-,3061,0,0,3061,1688,4749,482,0,March-2019
NLW,NHS England South West ,Bristol Community Health,0,0,3167,3167,0,0,3154,3154,0,0,13,13,0.9958951689295864,-,-,0.9958951689295864,0,0,0,0,0,0,0,0,March-2020
RVJ,NHS England South West ,North Bristol NHS Trust,6422,0,0,6422,5148,0,0,5148,1274,0,0,1274,0.8016194331983806,0.8016194331983806,-,-,2649,0,0,2649,1273,3922,399,2,March-2020
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,7586,1582,0,9168,5862,1562,0,7424,1724,20,0,1744,0.8097731239092496,0.7727392565251779,0.9873577749683944,-,2435,9,0,2444,744,3188,334,5,March-2020
RVJ,NHS England South West ,North Bristol NHS Trust,7267,0,0,7267,5890,0,0,5890,1377,0,0,1377,0.8105132792073758,0.8105132792073758,-,-,3240,0,0,3240,1678,4918,217,0,March-2021
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,11879,1709,0,13588,8694,1670,0,10364,3185,39,0,3224,0.7627318221960554,0.7318797878609311,0.9771796372147454,-,4059,12,0,4071,638,4709,1339,102,March-2021
RVJ,NHS England South West ,North Bristol NHS Trust,8452,0,0,8452,4458,0,0,4458,3994,0,0,3994,0.5274491244675816,0.5274491244675816,-,-,2676,0,0,2676,1816,4492,1087,449,March-2022
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,14709,2029,0,16738,8666,1923,0,10589,6043,106,0,6149,0.63263233361214,0.5891630974233463,0.9477575160177427,-,3749,10,0,3759,934,4693,1884,952,March-2022
RVJ,NHS England South West ,North Bristol NHS Trust,8303,0,0,8303,6505,0,0,6505,1798,0,0,1798,0.7834517644224979,0.7834517644224979,-,-,3255,0,0,3255,1951,5206,699,135,March-2023
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,14251,2374,0,16625,8806,2312,0,11118,5445,62,0,5507,0.6687518796992481,0.6179215493649568,0.9738837405223252,-,4678,4,0,4682,1366,6048,1799,545,March-2023
NLW,NHS England South West ,Bristol Community Health,0,0,4629,4629,0,0,4611,4611,0,0,18,18,0.9961114711600778,-,-,0.9961114711600778,0,0,0,0,0,0,0,0,May-2018
RVJ,NHS England South West ,North Bristol NHS Trust,7998,0,0,7998,7115,0,0,7115,883,0,0,883,0.8895973993498375,0.8895973993498375,-,-,2635,0,0,2635,1707,4342,107,0,May-2018
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,9933,2007,0,11940,8913,1969,0,10882,1020,38,0,1058,0.9113902847571189,0.8973119903352461,0.9810662680617838,-,2993,10,0,3003,923,3926,124,0,May-2018
NLW,NHS England South West ,Bristol Community Health,0,0,5330,5330,0,0,5328,5328,0,0,2,2,0.999624765478424,-,-,0.999624765478424,0,0,0,0,0,0,0,0,May-2019
RVJ,NHS England South West ,North Bristol NHS Trust,8266,0,0,8266,6295,0,0,6295,1971,0,0,1971,0.7615533510766997,0.7615533510766997,-,-,3263,0,0,3263,1872,5135,393,0,May-2019
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,10041,2107,0,12148,7396,2073,0,9469,2645,34,0,2679,0.7794698715837998,0.7365800219101684,0.9838633127669673,-,3320,12,0,3332,943,4275,437,0,May-2019
RVJ,NHS England South West ,North Bristol NHS Trust,5986,0,0,5986,5715,0,0,5715,271,0,0,271,0.9547276979619111,0.9547276979619111,-,-,2901,0,0,2901,1183,4084,27,0,May-2020
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,8568,1310,0,9878,7656,1301,0,8957,912,9,0,921,0.9067625025308766,0.8935574229691877,0.9931297709923664,-,3196,9,0,3205,693,3898,185,1,May-2020
RVJ,NHS England South West ,North Bristol NHS Trust,8700,0,0,8700,6326,0,0,6326,2374,0,0,2374,0.7271264367816092,0.7271264367816092,-,-,3460,0,0,3460,1541,5001,440,0,May-2021
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,14655,1867,0,16522,10428,1831,0,12259,4227,36,0,4263,0.7419803897833193,0.7115660184237461,0.9807177289769684,-,4273,7,0,4280,645,4925,1104,28,May-2021
RVJ,NHS England South West ,North Bristol NHS Trust,8700,0,0,8700,6326,0,0,6326,2374,0,0,2374,0.7271264367816092,0.7271264367816092,-,-,3460,0,0,3460,1541,5001,440,0,May-2022
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,14718,2060,0,16778,8364,1987,0,10351,6354,73,0,6427,0.6169388484920729,0.5682837342030167,0.9645631067961165,-,3796,9,0,3805,830,4635,1771,579,May-2022
RVJ,NHS England South West ,North Bristol NHS Trust,9020,0,0,9020,6381,0,0,6381,2639,0,0,2639,0.7074279379157428,0.7074279379157428,-,-,3069,0,0,3069,1746,4815,691,39,May-2023
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,15391,2317,0,17708,9754,2195,0,11949,5637,122,0,5759,0.6747797605601987,0.6337469949970762,0.9473457056538628,-,4720,10,0,4730,1336,6066,1617,435,May-2023
NLW,NHS England South West ,Bristol Community Health,0,0,4600,4600,0,0,4587,4587,0,0,13,13,0.9971739130434782,-,-,0.9971739130434782,0,0,0,0,0,0,0,0,November-2018
